,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HUGO BOSS AG
GPTW Survey 2023
October 30, 2023 - November 18, 2023
HB Global 2023 Results","Overall
(Nov 2023)",Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Australien,Belgien,Brasilien,China,Dänemark,Deutschland,Dubai,Finnland,Frankreich,Griechenland,Großbritanien,Hong Kong,Irland,Italien,Japan,Kanada,Katar,Malysia,Mexiko,Niederlande,Norwegen,Österreich,Polen,Portugal,Schweden,Schweiz,Singapur,Spanien,Südkorea,Taiwan,Thailand,Türkei,USA
Global filter (Nov 2023): Overall Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pride,77,77,74,86,87,67,80,92,70,72,83,71,63,79,70,68,74,92,70,82,58,59,84,63,75,79,82,70,73,64,48,79,77,64
,Respect,68,75,66,77,82,65,74,87,67,62,73,68,68,71,67,62,70,84,68,71,51,57,77,64,64,75,78,70,63,65,44,76,60,59
,Support,67,74,68,76,82,65,74,90,74,61,73,70,65,72,67,69,73,82,71,72,55,57,78,64,68,76,77,70,67,67,41,81,57,61
,Team,76,77,76,80,88,68,78,92,73,73,79,73,66,74,64,74,76,86,69,82,56,56,79,67,74,80,77,71,74,76,55,83,75,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of All Statements,People here are treated fairly regardless of their sexual orientation.,86,97,91,98,92,94,95,93,95,94,92,91,90,97,87,89,92,92,85,91,86,100,96,93,92,97,96,83,92,91,63,85,72,83
,This is a physically safe place to work.,86,89,82,90,95,92,93,96,86,73,85,87,86,81,83,79,80,100,81,88,67,50,93,85,77,77,96,83,88,86,58,88,82,80
,People here are treated fairly regardless of their race.,85,95,87,96,93,90,92,90,91,89,93,90,83,97,87,84,85,83,81,91,83,75,93,87,88,92,96,82,90,85,60,85,75,81
,"When you join the company, you are made to feel welcome.",85,91,87,91,90,83,89,94,95,85,92,86,67,94,83,78,83,100,82,84,73,67,95,83,85,90,94,83,78,73,52,83,81,75
,"When I look at what we accomplish, I feel a sense of pride.",84,88,84,89,91,74,86,96,68,78,90,80,76,77,81,81,81,100,77,92,66,58,86,67,92,90,86,82,89,83,60,93,83,78
,I'm proud to tell others I work here.,84,88,86,94,90,82,90,96,77,84,92,81,67,89,82,83,82,96,79,88,74,75,93,60,81,90,94,81,79,58,45,90,82,74
,I feel I make a difference here.,82,82,74,88,83,71,82,89,77,85,92,75,72,86,68,76,75,96,63,79,68,67,91,57,76,82,77,75,68,67,72,68,89,70
,"Our customers would rate the service we deliver as ""excellent.""",81,82,79,88,91,69,80,96,95,74,96,87,62,92,78,60,85,100,73,89,69,92,87,82,83,85,86,70,83,71,45,83,79,74
,People here are treated fairly regardless of their gender.,81,94,88,97,93,91,88,92,100,89,91,86,88,97,84,82,89,88,81,90,85,83,95,92,88,95,87,88,85,80,57,90,67,78
,People celebrate special events around here.,79,76,66,74,75,73,83,94,48,61,62,66,58,78,78,62,66,83,75,76,51,50,78,79,62,74,89,78,67,63,45,85,88,68
,I want to work here for a long time.,78,75,82,88,90,65,83,90,59,65,82,65,60,72,78,66,70,100,73,81,61,42,91,66,71,72,86,69,73,55,50,76,80,64
,I am treated as a full member here regardless of my position.,78,86,78,84,92,79,84,94,77,74,80,81,81,83,69,69,76,88,79,83,67,67,91,76,76,79,88,78,76,64,57,80,70,69
,I can be myself around here.,78,83,81,86,81,82,82,93,86,78,77,81,72,80,70,56,80,83,69,85,74,75,87,63,74,92,80,74,79,56,42,76,76,68
,"Taking everything into account, I would say this is a great place to work.",77,78,71,87,88,70,87,92,73,69,82,70,62,75,72,70,72,88,71,82,50,50,90,60,74,74,89,66,69,54,27,80,73,62
,"My work has special meaning: this is not ""just a job.""",76,68,68,94,83,61,75,93,64,72,89,62,62,74,68,64,69,83,69,75,58,50,82,58,76,82,77,65,73,78,42,78,83,62
,People are supported by helpful measures in promoting health.,76,75,69,85,91,65,78,89,59,75,87,71,65,75,73,58,69,92,77,71,45,67,71,55,72,69,89,76,64,80,57,76,77,59
,People here are given a lot of responsibility.,75,81,77,75,84,77,80,81,59,70,75,73,72,78,59,76,78,88,79,73,70,67,82,79,78,77,84,80,77,86,55,88,69,75
,Our facilities contribute to a good working environment.,74,83,61,78,88,75,72,90,64,56,68,71,60,83,74,56,68,88,74,81,48,50,82,77,64,72,90,69,68,70,45,83,75,63
,I believe management would lay people off only as a last resort.,74,78,63,83,75,77,86,83,82,72,93,77,74,78,78,74,74,88,66,68,64,67,88,79,73,63,73,78,74,74,53,85,67,63
,I would strongly endorse my company to friends and family as a great place to work.,74,75,63,90,84,65,85,90,68,63,82,67,51,75,71,57,69,96,69,77,46,42,91,53,71,72,87,64,63,49,28,73,72,60
,Management is honest and ethical in its business practices.,74,82,73,85,88,70,81,93,86,77,93,78,75,83,69,65,84,88,79,84,65,67,88,79,79,82,84,79,73,73,43,78,64,65
,People here quickly adapt to changes needed for our organization's success.,73,76,71,79,87,64,72,93,91,74,70,73,57,86,59,66,77,88,68,79,53,67,78,65,68,82,74,69,67,63,42,76,74,61
,Management trusts people to do a good job without watching over their shoulders.,73,82,82,78,85,73,81,90,77,71,86,74,81,72,74,70,75,92,68,80,57,58,83,65,64,84,83,80,77,74,53,68,63,67
